titel;beschreibung;postleitzahl;stadt;zeit
['Reisekoffer auf Rollen aus den 90er Jahren'];['Reisekoffer 60x40x20cm grün kann abgeholt werden'];48159;['Sprakel'];25.07.2020 16:15
['Druckerpatrone für Brother Drucker'];['Leider falsche Druckerpatrone gekauft, daher unbenutzt und sie sollte voll funktionsfähig...'];48149;['Centrum'];25.07.2020 16:15
['[Reserviert bis 25.7.] Deckenlampe (Montagehaken für Decke fehlt)'];['Verschenke die abgebildete Deckenlampe.', 'Es fehlt jedoch die Montagevorrichtung, an der die Lampe...'];48163;['Mecklenbeck'];25.07.2020 16:00
['Portemonnaie zu VERSCHENKEN'];['Beiges Portemonnaie zu verschenken. An den Ecken ein paar Gebrauchsspuren, aber insgesamt noch gut...'];48143;['Centrum'];25.07.2020 15:55
['Suche Elektroherd'];['Ich suche Elektroherd mit Cerankochfeld für meine Tochter (Studentin). Am besten zu verschenken.'];48161;['Gievenbeck'];25.07.2020 15:51
['2 CD / DVD Mappen'];['Mängelfrei.'];48157;['Coerde'];25.07.2020 15:02
['3 kleine Bücher'];['Sehr guter Zustand.'];48157;['Coerde'];25.07.2020 14:57
['Sideboard zu verschenken'];['Wer Interesse hat, einfach melden', 'Abzuholen im südviertel'];48153;['Centrum'];25.07.2020 14:42
['Spiegel mit Mosaikrahmen'];['Leider ohne Befestigungsmöglichk\u200beit und somit nicht zum Aufhängen geeignet.', '', 'Maße 79cm x 79cm', '', 'Nur...'];48151;['Geist'];25.07.2020 14:28
['Trockner für Hörgeräte'];['Ein Trocknungsgeräte für Hörgeräte aus Nachlass zu verschenken'];48165;['Hiltrup'];25.07.2020 14:21
['Lack Wohnzimmertisch'];['Ikea Wohnzimmertisch mit Gebrauchspuren (s. Fotos)'];48147;['Centrum'];25.07.2020 12:47
['RESERVIERT BIS MONTAG! Obstgarten von haba'];['Obstgarten von haba, leider fehlt ein Körbchen und eine pflaume Karton hat gebrauchs Spuren'];48159;['Kinderhaus'];25.07.2020 11:46
['RESERVIERT: 0€ Stabiler großer Schrank mit Schiebetüren'];['Stabiler, großer Schrank aus Holz zu verschenken, hellgrau/weiß lackiert mit jeweils drei...'];48155;['Centrum'];25.07.2020 00:13
['Browning Waggler zum Match- und Stippangeln'];['Hallo,', '', 'die Waggler wurden so gut wie nie benutzt und sind top in Ordnung. Die jeweiligen Gewichte...'];48151;['Centrum'];23.07.2020   2020-07-25
['Tausche Zimmerpflanzen Ableger'];['Hallo ich tausche meine violetten Zebrakraut Ableger gegen eure Ableger. Das Zebrakraut (auch...'];48153;['Berg Fidel'];23.07.2020   2020-07-25
['Türblätter 4 Stck 86 cm breit'];['Türblätter zu verschenken an Selbstabholer mit Türklinke Hewi braun', '4 Stck 86 cm', '1 Stck 73 cm'];48161;['Roxel'];22.07.2020   2020-07-25
['Schrankwand 3 teilig zu verschenken bis heute Abend'];['schrankwand zu verschenken'];48151;['Centrum'];22.07.2020   2020-07-25
['Fernsehschrank von Ikea'];['Fernsehschrank von Ikea mit leichten Gebrauchsspuren, ansonsten in einem guten Zustand'];48145;['Centrum'];21.07.2020   2020-07-25
['Schrank mit Glastüren'];['Schrank mit Glastüren, leichter Eigengeruch, ansonsten in sehr gutem Zustand'];48145;['Centrum'];21.07.2020   2020-07-25
['Pkw Anhänger zum herrichten dringend ???'];['Suche ein Pkw Anhänger so günstig wie möglich'];48151;['Centrum'];21.07.2020   2020-07-25
['CD Ständer'];['CD Ständer zu verschenken.'];48147;['Centrum'];21.07.2020   2020-07-25
['Babywanne Rotho'];['Gut erhaltene Babywanne abzugeben. Nur Abholung!'];48165;['Hiltrup'];20.07.2020   2020-07-25
['Couch zu verschenken - nur noch bis zum 25.07.20'];['Gebrauchte Sitzgarnitur aus Leder für Selbstabholer zu verschenken.'];48143;['Centrum'];20.07.2020   2020-07-25
['Ganzglastür aus dunkelem Rauchglas'];['Ich biete eine Ganzglastür im Standardmaß aus dunkelem Rauchglas an, Anschlag links, Türdrücker...'];48147;['Wienburg'];19.07.2020   2020-07-25
['HJÄLPA (4x) Schrank-Scharniere & LÄTTHET (1x4) Möbelfüße OVP IKEA'];['Ungeöffnet.', '... bevorzugt mit etwas anderem aus meinen Anzeigen zusammen.', '', '► Schaut euch auch meine...'];48147;['Centrum'];19.07.2020   2020-07-25
['Miele Novotronic Duett'];['Ich habe meine Miele Novotronic Duett abzugeben. Hat bis vor kurzem noch perfekt gewaschen, jetzt...'];48161;['Nienberge'];19.07.2020   2020-07-25
['Kravaten zu verschenken'];['11 ganz unterschiedliche kravaten zu versenken.', 'Versand möglich. Die Kosten für den Versand müssten...'];48165;['Hiltrup'];17.07.2020   2020-07-25
['Abtropf Gitter'];['Ikea Trocken-Gitter zu verkaufen :)'];48151;['Centrum'];17.07.2020   2020-07-25
['IPhone 11 Pro hüllen'];['Hallo ich habe iPhone 11 pro hüllen adidas ich möchte was Kleines haben'];48161;['Roxel'];26.07.2020 16:38
['Gasofen / Gasherd Gorenje zu verschenken'];['Verschenke', '', 'alten Standherd von Gorenje', 'Kochplatten und Backofen mit Gas betrieben', 'keine...'];48155;['Mauritz'];26.07.2020 16:37
['Handgenähte Kalenderhülle zu verschenken'];['Ich habe diese Kalenderhülle zu verschenken. Sie ist noch super in Schuss! Habe Sie nur 1 Jahr...'];48161;['Roxel'];26.07.2020 16:36
['Ca 15 Schlüsselbänder zu verschenken'];['15 Schlüsselbänder diverser Werbeträger zu verschenken'];48163;['Albachten'];26.07.2020 16:31
['Blumentöpfe zu verschenken'];['Verschenke', '', 'diverse Blumentöpfe, bis auf die beiden grünen Exemplare allesamt für den Innengebrauch...'];48155;['Mauritz'];26.07.2020 16:27
['Schlafsofa'];['Großes braunes Ikea Schlafsofa ohne Dekokissen, ausziehbar mit integriertem Lattenrost. Das Sofa...'];48153;['Centrum'];26.07.2020 16:12
['Couchtisch'];['Couchtisch aus Glas und Holz zu verschenken :)', '', 'Schäden siehe Bild'];48159;['Kinderhaus'];26.07.2020 15:36
['Backen- Praktische Rezepte Schritt für Schritt'];['Ein Backbuch für tolle und einfache Rezepte:)'];48151;['Geist'];26.07.2020 15:28
['Kleiderschrank weiß'];['Wir verschenken 3 Kleiderschränke von Ikea, davon ein Spiegelschrank mit Einlegenbögen und der...'];48153;['Centrum'];26.07.2020 15:02
['Raffrollo  Neu'];['Es ist Neu'];48147;['Centrum'];26.07.2020 14:48
['Ca 30 Schubkarren Ladungen Erde'];['Habe im Garten etwas umgebaut un deshalb Erde über....liegt im Hof und kann umsonst abgeholt werden'];48167;['Gremmendorf'];26.07.2020 14:44
['Kleidung Mädchen - 98-104'];['Hallo ich suche für ein alleinerziehenden Vater Kleidung für seine Tochter vill hat ja jemand noch...'];48157;['Coerde'];26.07.2020 14:44
['Stehsammler zu verschenken'];['Wir verschenken 6 Stehsammler (transparent).'];48161;['Nienberge'];26.07.2020 14:41
['Kratzbaum zu verschenken'];['Der Kratzbaum ist aus Bambus. Unsere Katzen sind darüber auf einen Schrank geklettert. Ist also...'];48159;['Kinderhaus'];26.07.2020 14:34
['BASICS Klinische Chemie'];['Top Zustand, Ausgabe ist von 2006.'];48147;['Centrum'];26.07.2020 14:32
['Bettwäsche zu verschenken'];['Die Bettwäsche hat größtenteils die Übergröße 155x220cm. Die Bettwäsche ist in einem guten Zustand....'];48147;['Centrum'];26.07.2020 14:21
['Leifheit Stiel für Bodenwischer'];['Leifheit Stiel für Bodenwischer', '', 'Detailfragen beantworte ich gerne per Mail. Kann bei Bedarf noch...'];48167;['Wolbeck'];26.07.2020 14:21
['Billy Regal'];['Müsste heute abgeholt werden - ziehen morgen um.'];48147;['Wienburg'];26.07.2020 14:13
['Suche Motorrad Helm'];['Suche Motorrad Helm'];48151;['Centrum'];26.07.2020 14:01
['Klaräpfel zum selbstpflücken'];['Wir bieten Klaräpfel (toll für Apfelmus und Kuchen) zum selbstpflücken an. Leiter und Apfelpflücker...'];48157;['Handorf'];26.07.2020 14:00
['CD zu verschenken'];"[""Ich verschenke diese beiden CD's.""]";48165;['Hiltrup'];26.07.2020 13:48
['Verkleidung für Kinder'];['Kostüme für Hexe, Ritter, Darth Vader'];48149;['Sentrup'];26.07.2020 13:41
['Kinder schuhe 33 große'];['Wie neu...'];48153;['Berg Fidel'];26.07.2020 13:37
['Medi-Learn Skripte Anatomie'];['Medi-Learn Skripte Anatomie 1-7 + Examensfragen 1', '1.Auflage 2018'];48149;['Centrum'];26.07.2020 13:31
['Schlafsofa rot'];['Schlafsofa ausziehbar.', 'Maße eingeklappt 205x97cm, Liegefläche 205x185.', 'Unter der Sitzfläche...'];48149;['Centrum'];26.07.2020 13:16
['Terrassensteine zu verschenken'];['Verschenke Terrassensteine an Selbstabholer!', '', '- Farbe: Rot', '- Maße: 20 x 20 x 8 cm', '- Menge: ca. 500...'];48163;['Mecklenbeck'];26.07.2020 13:15
['Leinwand PRADA Marfa zu verschenken'];['Poster auf Leinwand zu verschenken', 'Aufschrift PRADA Marfa 1837 Mi', 'Größe ca 70x100 cm', 'Nur...'];48155;['Centrum'];26.07.2020 13:12
['Briefmarken zu verschenken'];['Hallo,ich suche zum Aufbau einer Sammlung Briefmarken,die zu verschenken sind.Dabei suche ich v.a....'];48147;['Centrum'];26.07.2020 13:11
['Deckenlampe abzugeben'];['Zu verschenken.', '', 'Bei weiteren Fragen melden. Ohne Leuchtmittel.', '', 'Es handelt sich um einen...'];48155;['Centrum'];26.07.2020 13:11
['Handyschutzfolie / Panzerglasfolie'];['2 Stück Samsung Galaxy A3 2016 Panzerglasfolie'];48149;['Centrum'];26.07.2020 13:08
['Hantel 2.5 kg erweiterbar reserviert'];['Verschenke Hantel 2.5 kg'];48157;['Handorf'];26.07.2020 12:50
['Reserviert- 20 Kerzen zu verschenken'];['2 cm Durchmesser, 17 cm lang', '', 'Kontaktlos abzuholen nähe JVA / Gartenstr. in Münster (gerne...'];48147;['Centrum'];26.07.2020 12:41
['4 kleine rote Ordner'];['Hab ich vor langer Zeit mal geschenkt bekommen, habe aber keine Verwendung dafür. Bis auf die...'];48165;['Hiltrup'];26.07.2020 12:31
['Portmonee wie neu'];['Wurde nie gebraucht. Liegt nur im Schrank rum.'];48165;['Hiltrup'];26.07.2020 12:27
['Rauchmelder'];['Wurde nie benutzt. Liegt nur im Schrank rum.'];48165;['Hiltrup'];26.07.2020 12:26
['Schiebestange f Kettler Dreirad'];['Schiebestange für Kettler Dreirad zu verschenken. Abholung in Gremmendorf'];48155;['Centrum'];26.07.2020 12:21
['Schaukel Schaukelbrett'];['Drei Schaukel Bretter zu verschenken, auch einzeln abzugeben. Abholung in Gremmendorf'];48155;['Centrum'];26.07.2020 12:14
['Fußballtor Tor zu verschenken'];['Kleines Fußball Tor zu verschenken, müssten nur an beiden Seiten zwei kleine Stäbe oder einfach...'];48155;['Centrum'];26.07.2020 12:13
['Kleiner Schrank / Kommode  zu verschenken'];['Zu verschenken', 'Abzuholen am besten heute Nachmittag/Aben\u200bd Ecke Kanalstr/Ring', 'H70 T 39 B60'];48147;['Centrum'];26.07.2020 12:04
['Tausche meinen Segway 9bot G30 D gegen einen My Tier'];['Ich biete meinen Elektroroller den segway-ninebot G30 de gegen einen my Tier Roller an würde aber...'];48163;['Amelsbüren'];26.07.2020 12:04
['Spielzelt/-häuschen zu verschenken'];['Hallo,', 'wir verschenken unser Spielzelt von Ikea. Durch eingeklappte Lagerung ein wenig...'];48153;['Geist'];26.07.2020 12:03
['Klimmzugstange ohne Befestigung'];['Bei dieser Stange fehlen Gummiringe zur Befestigung. Gibt es vielleicht dennoch Möglichkeiten sie...'];48155;['Centrum'];26.07.2020 11:50
['Haarpflegeprodukte'];['Zum verschenken'];48151;['Aaseestadt'];26.07.2020 11:39
['Verschenken 19 Wand-Lichtleisten Leuchtleisten Lampen Neon-Lampen'];['- Wir verschenken 19 Wand-Lichtleisten (Leuchtleisten Lampen Neon-Lampen Wand)', '- Bitte Abholung bis...'];48147;['Centrum'];26.07.2020 11:23
['Leder Garnitur mit 2 Sessel'];['Hallo verschenke eine Leder Garnitur Dreier und zwei Sessel mit rollen'];48157;['Coerde'];26.07.2020 11:16
['Gebrauchte Ordner'];['Wir haben sehr viele gebrauchte Ordner. Wer welche benötigt, kann sehr gerne vorbeikommen und sich...'];48155;['Centrum'];26.07.2020 11:13
['Einzelner Topf und einzelner Deckel'];['Der Deckel ist für große Pfannen. Der Topf hat leider keinen passenden Deckel.'];48155;['Centrum'];26.07.2020 11:11
['Drehbare Sternkarte'];['Die habe ich mir mal für eine Vorlesung besorgt. Sie wurde also nur kurz genutzt.'];48155;['Centrum'];26.07.2020 11:10
['Couchtisch von Ikea'];['Der Tisch wurde nur kurz genutzt.'];48155;['Centrum'];26.07.2020 11:07
['Fläschchen und Trinkbecher'];['Die beiden haben leichte Gebrauchsspuren, sind ansonsten noch gut zu verwenden.'];48155;['Centrum'];26.07.2020 11:03
['Gro�e gem�tliche Couch zu verschenken'];['Ich verschenke eine gro�e gem�tliche Couch an Selbstabholer!', 'Die Couch stammt aus einem Haushalt...'];48157;['Sprakel'];26.07.2020 10:54
['LETZTE CHANCE ! - noch 3 sehr großer Kartons -  zu verschenken'];['LETZTE CHANCE ! - noch 3 sehr großer Kartons - zu verschenken', '', 'AUCH HIER GILT: NEIN - KEINE...'];48163;['Albachten'];26.07.2020 10:50
['IKEA Gardinenstange (altes System)'];['Hallo,', '', 'ich biete hier:', '', 'Zwei Stangen mit jeweils 310 cm Länge', '', 'Inkl. Verbinder der Elemente', 'Inkl....'];48149;['Gievenbeck'];26.07.2020 10:47
['Toploader Bauknecht. Defekt zu verschenken.'];['Vielleicht für Schrotties oder Bastler. Abzuholen in Hiltrup'];48167;['Gremmendorf'];26.07.2020 10:38
['Schreibtisch/Container'];['Dieser kleiner Schreibtisch-Beistel\u200bltisch wird bei uns nicht mehr benötigt.', 'Er weist...'];48165;['Hiltrup'];26.07.2020 09:38
['Designer Vase Blumenvase aus Glas'];['Top Zustand, ich benutze sie einfach nie. Nur an Selbstabholer.'];48161;['Roxel'];26.07.2020 09:36
['4 halbe Kokosnussschalen für Nagetiere / Terrarium / Basteln'];['Zum Basteln oder für Haustiere als Höhle. Versand ist gegen Übernahme der Kosten kein Problem.'];48161;['Roxel'];26.07.2020 09:36
['Streusalz / Auftausalz'];['Ca. 6 x 50kg Salz', 'Ca 10 x 25kg Salz', 'Ca 8 x 40kg Streugranulat', '', 'Ist alles zu verschenken und kann...'];48159;['Sprakel'];26.07.2020 09:22
['Tischtennisplatte'];['Tischtennisplatte von Sponeta. Das untere Gestell ist leider verrostet da die Platte das ganze Jahr...'];48157;['Handorf'];26.07.2020 04:33
['Kleiderschrank mit Schiebetüren zu verschenken'];['Zu verschenken ist ein Kleiderschrank mit Schiebetüren (ohne Inhalt). Gerne gebe ich aber auch die...'];48147;['Centrum'];26.07.2020 22:49
['Vase Glas Ikea für einzelne Blumen oder Bambus'];['Ich verschenke diese Vase von Ikea. Sie hat Flecken auf höhe des Wasserstands, die man evtl mit...'];48163;['Mecklenbeck'];26.07.2020 22:36
['Puky Tretroller - Reserviert bis Montag 11 Uhr'];['Zu verschenken', '', 'Die Spenderin freut sich trotzdem über ein kleines Dankeschön.', '', 'Schaut auch in...'];48159;['Kinderhaus'];26.07.2020 21:43
['Quigg Antikalkkartuschen für Dampfbügeleisen 3x zu verschenken'];['Liegt bis morgen Abend zur Abholung bereit. Dauvemühle 206, draussen auf der Bank vorm Haus.'];48159;['Kinderhaus'];26.07.2020 21:25
['*reserviert* Sitzpolster Ikea'];['4 Sitzpolster 43x43 cm in gutem gebrauchten Zustand. Ein bisschen verblichen....hier und da...'];48163;['Amelsbüren'];26.07.2020 21:00
['Isover Sant-Gobain'];['1 Packet Isover bei einem fehlt ein kleines Stück wie man auf dem 2 Foto sieht'];48163;['Mecklenbeck'];26.07.2020 20:28
['Jeans Shorts Gr. 40'];['Abholung in MS Centrum'];48151;['Centrum'];26.07.2020 20:12
['Handgenähte Handyhülle zu verschenken'];['Ich habe diese handgenähte Handyhülle zu verschenken. Ich habe sie in einem Handarbeitsladen...'];48161;['Roxel'];26.07.2020 20:10
['Alter Retro-Kühlschrank'];['Leider nicht mehr die Zeit gefunden, den Kühlschrank fertigzustellen. Die anfängliche Idee war es...'];48155;['Centrum'];26.07.2020 19:44
['22 leere Kaffeebohnentüten zum Nähen oder Basteln'];"['Ich verschenke ""gesammelte Werke"":', '20 Kaffeetüten (ALDI-Sorte Moreno) und', '2 braune...']";48167;['Gremmendorf'];26.07.2020 19:34
['Besteckkasten'];['Maße: 26x 30cm', '', 'Nicht mehr so schön, aber funktional.', '', 'An Selbstabholer zu verschenken'];48145;['Mauritz'];26.07.2020 19:31
['Große Schrankwand in Nussbaum zu verschenken! Abholung 01.08'];['Letzte Chance eine große klassische Schrankwand kostenlos zu erhalten!!', '', '', 'Breite / Länge :...'];48149;['Centrum'];26.07.2020 19:31
['Schreibtischunterlage zu verschenken'];['Vielleicht hat ja noch jemand Verwendung dafür. Abholung in Münster Roxel.'];48161;['Roxel'];26.07.2020 19:30
['Wonderstripes Schönheitspflaster Probierpackung'];['Verschenke ein Probepäckchen Schönheitspflaster zur poetischen Augenlidkorrektur.', '', 'Versand gegen...'];48167;['Angelmodde'];26.07.2020 19:17
['Lübecker Blut von Christiane Güth'];['Gebrauchtes Buch an Selbstabholer zu verschenken.'];48145;['Mauritz'];26.07.2020 19:15
['Sehr große leder Tasche / Koffer'];['- Farbe : Beige', '- Schwer', 'Paar macken, was mich persönlich nicht groß gestört hat.', 'Benutze die...'];48153;['Centrum'];26.07.2020 19:11
['Tierisch sauber Geruchs-Stopp ca. 200-250ml'];['Biete eine ca. halbvolle Sprühflasche Geruchs-Stopp gegen Haustiergerüche an.', '', 'Bitte schaut doch...'];48167;['Angelmodde'];26.07.2020 18:38
['Altes Klavier zu verschenken!'];['Sehr altes verstimmtes Klavier zu verschenken. NUR Selbstabholer.', 'Restaurationsbedürft\u200big oder zu...'];48147;['Centrum'];26.07.2020 18:20
['Alter Büroschrank zu verschenken'];['Wir verschenken einen alten, sehr massiven Büroschrank, die Türen lassen sich öffnen und schließen....'];48157;['Coerde'];26.07.2020 18:13
['4 Tafel-Namensschilder mit Kreide'];['Kleine (5cm x 2cm) Namensschilder zur Wiederverwendung in verschiedenen Farben inklusive Kreide an...'];48145;['Mauritz'];26.07.2020 18:11
['Kochbücher an Selbstabholer'];['Ich verschenke diese Kochbücher. Einzeln oder auch alle zusammen an Selbstabholer. Sind alle wie...'];48163;['Amelsbüren'];26.07.2020 18:03
['Spindel- / Wendeltreppe zu verschenken an Selbstabholer/-abbauer'];['Wir verschenken hier unsere Wendeltreppe an Selbstabholer / Selbstabbauer. Es kann ggf. beim...'];48165;['Hiltrup'];26.07.2020 17:33
['DVD Historische Stadtkerne in NRW'];['OVP Neu !...'];48157;['Coerde'];26.07.2020 16:41
['5 Metalltüren inkl. Zarge zu verschenken! Abholung 01.08'];['Solange die Anzeige online ist sind die Türen noch zu haben !!', '', 'Da der letzte Interessent sehr...'];48149;['Centrum'];26.07.2020 16:40
['Wasserkocher zu verschenken'];['Verschenke meinen Wasserkocher, ist soweit voll funktionsfähig. Abzuholen in 48143 Münster.', 'Da...'];48149;['Centrum'];26.07.2020 16:31
['Dekoglas für Kleinkram'];['Ich verschenke ein hübsches Glas ohne Deckel. Es ist ca. 20 cm hoch. Ist super für Süßigkeiten zu...'];48153;['Centrum'];26.07.2020 16:14
['Leitz-Klarsichtfolienheft zu verschenken'];['Wer mag, kann dieses rote Heft mit 19 eingebauten Klarsichtfolien einfach abholen'];48151;['Aaseestadt'];26.07.2020 16:12
['Vorratsdose rot/weiß'];['Ich verschenke eine hübsche Vorratsdose. Ich persönlich habe sie immer für Kaffee genutzt aber man...'];48153;['Centrum'];26.07.2020 16:08
['Stoffeulen-Türstopper zu verschenken'];['Ich verschenke diese lustige Stoffeule. Sie fungiert wunderbar als Türstopper oder Dekoration....'];48151;['Aaseestadt'];26.07.2020 16:07
['Messerblock'];['Ich verschenke den Messerblock auf den Bildern (ohne das Messer) an Selbstabholer:innen'];48151;['Aaseestadt'];26.07.2020 15:59
['AEG Waschmaschine Toplader (defekt) *reserviert*'];['*Reserviert für T.*', '', 'Biete Toplader von AEG mit einem Defekt zu verschenken.', 'Die Maschine läuft...'];48161;['Nienberge'];26.07.2020 15:32
['Zu verschenken Esszimmer Selbstabholer bis Montag'];['Esszimmer gebraucht zu verschenken bis Montag'];48163;['Amelsbüren'];26.07.2020 15:29
['*reserviert für Naty*  Alles zu verschenken'];['Damenkleidung und andere Sachen zu verschenken.', '', 'Alles zu verschenken in Kärntner...'];48145;['Mauritz'];26.07.2020 15:06
['Stofftier Katze gefunden in Münster'];['Diese Stoffkatze sucht ihr Frauchen oder Herrchen. Gefunden heute morgen in Münster Innenstadt.'];48143;['Centrum'];26.07.2020 14:47
['Glas mit Schraubdeckel'];['Ich verschenke ein hübsches Vorratsglas mit Schraubdeckel. Man kann Bonbons oder Kleingeld etc....'];48153;['Centrum'];26.07.2020 14:13
['Pferde zubehör'];['Ich suche Pferdezubehör aber nur das was zu verschenken ist'];48155;['Mauritz'];26.07.2020 14:10
['Bastelbuch'];['Ich verschenke ein Bastelbuch: Naturmaterialien für die ganze Familie. Basteln und dekorieren...'];48153;['Centrum'];26.07.2020 14:10
['FARBE heute geöffnet'];['Wir verschenken diesen heute geöffneten Farbeimer in der Farbe Midnight grey von der Marke Schöner...'];48163;['Amelsbüren'];26.07.2020 14:09
['Logitech M185 kabellose Maus'];['Funktioniert.', '', 'Ist schon etwas älter und hat dementsprechende optische Alterserscheinungen.\u200b Sie...'];48143;['Centrum'];26.07.2020 14:08
['Tisch/ Küchentisch'];['Tisch 110cm x 70cm zu verschenken. Tischbeine abgeschraubt für den Transport. Schrauben auch dabei'];48165;['Hiltrup'];26.07.2020 13:47
['Reserviert -- Spiegeleiform Herz'];['Ich verschenke eine Spiegeleiform von Butlers. Sie ist neu, ungenutzt und noch original verpackt....'];48153;['Centrum'];26.07.2020 13:42
['Klappbett zu Verschenken'];['Ein Klappbett zu Verschenken.'];48145;['Mauritz'];26.07.2020 11:46
['3 Mikrowellendeckel'];['3 Mikrowellendeckel zu verschenken.'];48161;['Gievenbeck'];26.07.2020 11:18
['Reserviert: Einsatz für Kallax Regal von Ikea'];['Gelber Kallax - Einsatz: eine Türklappe & entsprechender Einsatz.', 'Guter Zustand, unten rechts ist...'];48167;['Gremmendorf'];26.07.2020 10:41
['‼️Nur Sa/So!!! Schwarzes Boxspringbett ‼️'];['Ich biete ein schwarzes Boxspringbett (140x200 cm) in gutem Zustand ohne Matratze an (Lattenrost...'];48165;['Hiltrup'];26.07.2020 10:02
['Gartenhütte in Münster zu verschenken!'];['Guten Tag,', '', 'wir bieten unsere Gartenhütte aus Holz zur Selbstabholung in Münster St. Mauritz...'];48145;['Mauritz'];24.07.2020   2020-07-26
['Hochwertige Natursteine (Grauwacke) zu verschenken'];['Jahrelang waren sie das Mäuerchen zum Rasen. Jetzt versperren sie uns den Blick auf unser neues...'];48167;['Gremmendorf'];24.07.2020   2020-07-26
['Neon Pinke Cola Gläser'];['Versand mit zusätzlichen Kosten möglich.'];48143;['Centrum'];24.07.2020   2020-07-26
['Große Wohnlandschaft Sofa'];['Hier Verkaufe ich mein Wohnlandschaft in super Zustand und sauber.', 'Kein Kinder', 'Kein Haustier', 'Nicht...'];48155;['Mauritz'];23.07.2020   2020-07-26
['Elektroorgel Farfisa ABHOLUNG BIS 29.07.!'];['Orgel zu verschenken!', 'Abholung nur bis zum 29.07. möglich'];48159;['Wienburg'];23.07.2020   2020-07-26
['Mundschutz Maske Gesichtsmaske Mund- und Nasenschutz Corona'];['Gesichtsmaske aus Stoff, selbstgenäht und frisch auf 60 Grad gewaschen.', '', 'Abholung in...'];48143;['Centrum'];23.07.2020   2020-07-26
['Reserviert für Johannes - Valentin Yudashkin Löffel'];['Russen stehen dadrauf. Keine Ahnung warum, war ein Geschenk.'];48159;['Sprakel'];23.07.2020   2020-07-26
['Gartenplatten 50x 50cm zu verschenken! Abholung 01.08'];['Letzter Termin zwecks Abholung 01.08', '', '', 'Ca. 30-40 Gartenplatten 50 x 50 zu verschenken.', 'Die Platten...'];48149;['Centrum'];23.07.2020   2020-07-26
['Klinkersteine 24x 11cm zu verschenken! Abholung 01.08'];['Letzte Möglichkeit die Klinker abzuholen!!', '', 'Habe ein paar Klinker zu verschenken.', '', '24 x...'];48149;['Centrum'];23.07.2020   2020-07-26
['Reserviert Blumentöpfe Übertöpfe'];['Teilreserviert: alle blau eingekreisten Töpfe sind reserviert.', 'Und der Rest ist Reserviert für...'];48147;['Centrum'];23.07.2020   2020-07-26
['IKEA Dombås Kleiderschrank (B/H/T 140cm/181cm/51cm)'];['Der Schrank ist schon 2x umgezogen, hat sich aber immer wieder gut aufbauen lassen.', '', 'Er hat ein...'];48155;['Centrum'];23.07.2020   2020-07-26
['Res für Juliane - Ledersofa Couch'];['Ca 170 breit. Top erhalten.'];48161;['Gievenbeck'];23.07.2020   2020-07-26
['Lila Teppich'];['Lila Teppich, ein Colafleck an der Unterseite, oberseits aber voll in Ordnung (siehe Bild)'];48151;['Geist'];22.07.2020   2020-07-26
['Geschirrspüler Progress'];['Biete euch hier einen Geschirrspüler an.', 'Er lief bis vor kurzem und dann zeigte er an,dass der...'];48159;['Wienburg'];22.07.2020   2020-07-26
['2 Sofas - Couch'];['Biete 2 gebrauchte Sofas. Ein 2er (auf den beiden Bildern zu sehen) und auch noch passend dazu ein...'];48153;['Centrum'];22.07.2020   2020-07-26
['Spielwürfel Spielzeug Kleinkind'];['Verschenke Stoffwürfel (macht Geräusche, kann aber unter der Sonne ausgestellt werden)'];48163;['Mecklenbeck'];22.07.2020   2020-07-26
['Partylicht Lampe Leuchte'];['Tausche auch gegen Schokolade :)'];48163;['Mecklenbeck'];22.07.2020   2020-07-26
['Tafel zweiseitig Spielzeug'];['Hallo, ich biete hier eine Maltafel aus Plastik anzubieten.', 'Auf der einen Tafel ist sie mit Kreide...'];48163;['Mecklenbeck'];22.07.2020   2020-07-26
['Cd Regal aus Holz RESERVIERT'];['Für Selbstabholer in Münster Roxel!!!!'];48161;['Roxel'];22.07.2020   2020-07-26
['Fernseh-Glas-Reck drehbar'];['Verkaufe ein Fernseh-Hifi-Glasrec\u200bk, welches zu drehen ist. 4 Glasböden mit jeweils ca. 1m...'];48167;['Wolbeck'];20.07.2020   2020-07-26
['Zu verschenken! Tchibo/Saeco Kapsel Maschine'];['Ich verschenke meine Kaffee Kapsel Maschine. Zustand ist gut! Ich hab sie seit nem Jahr nicht mehr...'];48151;['Geist'];20.07.2020   2020-07-26
['Heckenschere Bosch PHS 46 G (defekt!)'];['Die Heckenschere funktioniert an sich noch, aber der Handschutz ist kaputt. Man kann diesen...'];48159;['Kinderhaus'];20.07.2020   2020-07-26
['Ikea Malm Bett 145 x 200 weiß'];['Ich biete ein Ikea Malm Bett in der Größe 145 x 200 cm an.', 'Das Bett ist bereits...'];48163;['Amelsbüren'];20.07.2020   2020-07-26
['Hemd Urban Classics'];['Rosafarbenes Karohemd von Urban Classics.', '', 'Hab es super gern getragen, aber es liegt seit einer...'];48147;['Centrum'];19.07.2020   2020-07-26
['Sofa - Couch'];['Biete 2 gebrauchte Sofas. Ein 2er (auf den beiden Bildern zu sehen) und auch noch passend dazu ein...'];48153;['Centrum'];19.07.2020   2020-07-26
['Wohnzimmerschrank Eiche rustikal'];['Biete hier einen gebrauchten WIE NEU Wohnzimmerschrank aus einem Oma und Opa Haushalt an. Tier und...'];48165;['Hiltrup'];19.07.2020   2020-07-26
